Timestamp,Sensor ID,Localização,Temperatura (°C),Humidade (%),Status
03/12/2025, 14:52,esp32-e7f9d108,Sala Principal,20.6,57,normal
03/12/2025, 14:52,esp32-e7f9d108,Sala Principal,20.6,57,normal
03/12/2025, 14:52,esp32-e7f9d108,Sala Principal,20.6,57,normal
03/12/2025, 14:52,esp32-e7f9d108,Sala Principal,20.8,57,normal
03/12/2025, 14:52,esp32-e7f9d108,Sala Principal,21,57,normal
03/12/2025, 14:52,esp32-e7f9d108,Sala Principal,21,57,normal
03/12/2025, 14:52,esp32-e7f9d108,Sala Principal,21,57,normal
03/12/2025, 14:52,esp32-e7f9d108,Sala Principal,21,58,normal
03/12/2025, 14:52,esp32-e7f9d108,Sala Principal,21,58,normal
03/12/2025, 14:52,esp32-e7f9d108,Sala Principal,21,58,normal
03/12/2025, 14:52,esp32-e7f9d108,Sala Principal,21,59,normal
03/12/2025, 14:52,esp32-e7f9d108,Sala Principal,21,59,normal
03/12/2025, 14:51,esp32-e7f9d108,Sala Principal,21,60,normal
03/12/2025, 14:51,esp32-e7f9d108,Sala Principal,21,60,normal
03/12/2025, 14:51,esp32-e7f9d108,Sala Principal,21,61,normal
03/12/2025, 14:51,esp32-e7f9d108,Sala Principal,21,62,normal
03/12/2025, 14:51,esp32-e7f9d108,Sala Principal,21.4,63,normal
03/12/2025, 14:51,esp32-e7f9d108,Sala Principal,21.4,64,normal
03/12/2025, 14:51,esp32-e7f9d108,Sala Principal,21.4,65,normal
03/12/2025, 14:51,esp32-e7f9d108,Sala Principal,21.4,66,normal
03/12/2025, 14:51,esp32-e7f9d108,Sala Principal,21.4,67,normal
03/12/2025, 14:51,esp32-e7f9d108,Sala Principal,21.4,69,normal
03/12/2025, 14:51,esp32-e7f9d108,Sala Principal,21.8,69,normal
03/12/2025, 14:51,esp32-e7f9d108,Sala Principal,21.8,71,normal
03/12/2025, 14:51,esp32-e7f9d108,Sala Principal,21.8,72,normal
03/12/2025, 14:51,esp32-e7f9d108,Sala Principal,22.2,73,normal
03/12/2025, 14:51,esp32-e7f9d108,Sala Principal,22.2,73,normal
03/12/2025, 14:51,esp32-e7f9d108,Sala Principal,22.2,73,normal
03/12/2025, 14:51,esp32-e7f9d108,Sala Principal,22.2,73,normal
03/12/2025, 14:51,esp32-e7f9d108,Sala Principal,22.2,72,normal
03/12/2025, 14:51,esp32-e7f9d108,Sala Principal,21.4,68,normal
03/12/2025, 14:50,esp32-e7f9d108,Sala Principal,21,52,normal
03/12/2025, 14:50,esp32-e7f9d108,Sala Principal,21,50,normal
03/12/2025, 14:50,esp32-e7f9d108,Sala Principal,21,50,normal
03/12/2025, 14:50,esp32-e7f9d108,Sala Principal,21,50,normal
03/12/2025, 14:50,esp32-e7f9d108,Sala Principal,21,50,normal
03/12/2025, 14:50,esp32-e7f9d108,Sala Principal,21,50,normal
03/12/2025, 14:50,esp32-e7f9d108,Sala Principal,21,50,normal
03/12/2025, 14:50,esp32-e7f9d108,Sala Principal,21.4,50,normal
03/12/2025, 14:50,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:50,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:50,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:50,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:50,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:50,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:50,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:50,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:50,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:49,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:49,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:49,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:49,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:49,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:49,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:49,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:49,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:49,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:49,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:49,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:48,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:48,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:48,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:48,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:47,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:47,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:47,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:47,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:47,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:47,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:47,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:47,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:47,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:47,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:47,esp32-e7f9d108,Sala Principal,21.4,50,normal
03/12/2025, 14:47,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:47,esp32-e7f9d108,Sala Principal,21.4,50,normal
03/12/2025, 14:47,esp32-e7f9d108,Sala Principal,21.4,50,normal
03/12/2025, 14:47,esp32-e7f9d108,Sala Principal,21.4,50,normal
03/12/2025, 14:47,esp32-e7f9d108,Sala Principal,21.4,50,normal
03/12/2025, 14:47,esp32-e7f9d108,Sala Principal,21.4,50,normal
03/12/2025, 14:46,esp32-e7f9d108,Sala Principal,21.4,50,normal
03/12/2025, 14:46,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:46,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:46,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:46,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:46,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:46,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:46,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:46,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:46,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:46,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:46,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:46,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:45,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:45,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:45,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:45,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:45,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:45,esp32-e7f9d108,Sala Principal,21.4,49,normal
03/12/2025, 14:45,esp32-e7f9d108,Sala Principal,21.4,49,normal
